run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
12,07:05:53,102,INT-502,7.789,BREAKDOWN,15,
12,07:19:44,103,INT-503,0,DEPARTURE,,
12,07:23:04,102,INT-502,7.789,REPAIRED,15,
12,07:52:59,101,INT-501,38,ARRIVAL,,
12,07:59:54,104,INT-504,0,DEPARTURE,,
12,07:59:54,102,INT-502,20.075,CHECKPOINT,,3423.72
12,08:22:37,103,INT-503,20.075,CHECKPOINT,,1362.84
12,08:39:48,105,INT-505,0,DEPARTURE,,
12,08:50:03,102,INT-502,38,ARRIVAL,,3423.72
12,08:53:39,104,INT-504,17.084,BREAKDOWN,15,
12,08:55:02,104,INT-504,17.084,REPAIRED,15,
12,09:00:17,105,INT-505,6.298,BREAKDOWN,0,
12,09:04:10,104,INT-504,20.075,CHECKPOINT,,2493
12,09:12:45,103,INT-503,38,ARRIVAL,,1362.84
12,09:14:42,105,INT-505,6.298,REPAIRED,0,
12,09:19:57,106,INT-506,0,DEPARTURE,,
12,09:21:37,105,INT-505,8.101,BREAKDOWN,15,
12,09:37:41,105,INT-505,8.101,REPAIRED,15,
12,09:54:18,104,INT-504,38,ARRIVAL,,2493
12,10:13:09,105,INT-505,20.075,CHECKPOINT,,4138.38
12,10:22:50,106,INT-506,20.075,CHECKPOINT,,581.7
12,11:03:17,105,INT-505,38,ARRIVAL,,4138.38
12,11:12:58,106,INT-506,38,ARRIVAL,,581.7
13,05:59:58,101,INT-501,0,DEPARTURE,,
13,06:39:51,102,INT-502,0,DEPARTURE,,
13,07:02:51,101,INT-501,20.075,CHECKPOINT,,
13,07:19:44,103,INT-503,0,DEPARTURE,,
13,07:22:31,102,INT-502,12.409,BREAKDOWN,15,
13,07:25:17,102,INT-502,12.409,REPAIRED,15,
13,07:45:30,102,INT-502,20.075,CHECKPOINT,,2559.48
13,07:52:26,103,INT-503,9.44,BREAKDOWN,15,
13,07:52:59,101,INT-501,38,ARRIVAL,,
13,07:59:54,104,INT-504,0,DEPARTURE,,
13,08:03:47,103,INT-503,9.44,REPAIRED,15,
13,08:33:59,103,INT-503,20.075,CHECKPOINT,,2908.5
13,08:35:38,102,INT-502,38,ARRIVAL,,2559.48
13,08:39:48,105,INT-505,0,DEPARTURE,,
13,09:02:47,104,INT-504,20.075,CHECKPOINT,,1728.48
13,09:19:57,106,INT-506,0,DEPARTURE,,
13,09:24:07,103,INT-503,38,ARRIVAL,,2908.5
13,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
