run_id,timestamp,trip_id,bus_id,distance_km,event,aux_km,headway_sec
8,07:02:51,101,INT-501,20.075,CHECKPOINT,,
8,07:19:44,103,INT-503,0,DEPARTURE,,
8,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
8,07:52:59,101,INT-501,38,ARRIVAL,,
8,07:59:54,104,INT-504,0,DEPARTURE,,
8,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
8,08:32:52,102,INT-502,38,ARRIVAL,,2393.28
8,08:39:48,105,INT-505,0,DEPARTURE,,
8,08:43:07,103,INT-503,28.124,BREAKDOWN,0,
8,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
8,09:19:57,106,INT-506,0,DEPARTURE,,
8,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
8,09:52:55,104,INT-504,38,ARRIVAL,,4803.18
8,09:55:41,105,INT-505,25.357,BREAKDOWN,0,
8,10:01:47,103,INT-503,28.124,REPAIRED,0,
8,10:22:50,106,INT-506,20.075,CHECKPOINT,,2409.9
8,10:31:25,103,INT-503,38,ARRIVAL,,2310.18
8,10:43:20,106,INT-506,28.124,BREAKDOWN,0,
8,11:08:49,105,INT-505,25.357,REPAIRED,0,
8,11:45:56,105,INT-505,38,ARRIVAL,,4470.78
8,12:02:00,106,INT-506,28.124,REPAIRED,0,
8,12:31:39,106,INT-506,38,ARRIVAL,,2742.3
9,05:59:58,101,INT-501,0,DEPARTURE,,
9,06:39:51,102,INT-502,0,DEPARTURE,,
9,07:02:51,101,INT-501,20.075,CHECKPOINT,,
9,07:19:44,103,INT-503,0,DEPARTURE,,
9,07:27:46,101,INT-501,31.033,BREAKDOWN,0,
9,07:42:44,102,INT-502,20.075,CHECKPOINT,,2393.28
9,07:59:54,104,INT-504,0,DEPARTURE,,
9,08:22:37,103,INT-503,20.075,CHECKPOINT,,2393.28
9,08:32:52,102,INT-502,38,ARRIVAL,,
9,08:34:32,103,INT-503,24.765,BREAKDOWN,0,
9,08:39:48,105,INT-505,0,DEPARTURE,,
9,08:53:05,101,INT-501,31.033,REPAIRED,0,
9,09:02:47,104,INT-504,20.075,CHECKPOINT,,2409.9
9,09:18:18,101,INT-501,38,ARRIVAL,,2725.68
9,09:19:57,106,INT-506,0,DEPARTURE,,
9,09:39:21,106,INT-506,6.084,BREAKDOWN,0,
9,09:42:40,105,INT-505,20.075,CHECKPOINT,,2393.28
9,09:46:33,103,INT-503,24.765,REPAIRED,0,
9,09:52:39,106,INT-506,6.084,REPAIRED,0,
9,09:52:55,104,INT-504,38,ARRIVAL,,2077.5
